sl no,brand,country,state,city,top speed kmh,battery capacity kWh,battery type,efficiency wh per km,range km,fast charging power kw dc,fast charge port,seats,drivetrain,electric vehicle type,safety rating,cost
24,Hyundai,Australia,Queensland,Brisbane,180,177,Li-ion,209.3,225,141,Tesla Supercharger,6,AWD,BEV,4.4,84168
25,Volkswagen,Japan,Tokyo,Tokyo,176,63.9,Solid-State,161.5,433,164,CCS,4,RWD,BEV,4.9,106585
26,Kia,France,Provence-Alpes-Côte d'Azur,Marseille,222,145.5,NiMH,159.8,228,109,Tesla Supercharger,4,AWD,BEV,3.8,115309
27,Lucid,France,Auvergne-Rhône-Alpes,Lyon,250,49.7,NiMH,147.1,245,273,CCS,7,AWD,PHEV,2.2,157062
28,Nissan,France,Provence-Alpes-Côte d'Azur,Marseille,289,174.2,NiMH,211,719,208,Type 2,5,RWD,BEV,2.6,157153
29,Hyundai,Japan,Kanagawa,Yokohama,277,126.7,Solid-State,179.3,200,205,Tesla Supercharger,4,RWD,HEV,3,127905
30,Tata,South Korea,Incheon,Incheon,250,110.4,NiMH,145.3,286,195,Tesla Supercharger,2,FWD,BEV,2.4,76057
31,Lucid,India,Tamil Nadu,Chennai,138,107.4,NiMH,181.8,593,303,Type 2,4,FWD,PHEV,2.7,175396
32,Tesla,Canada,British Columbia,Vancouver,262,72.4,Li-ion,171.1,675,321,Tesla Supercharger,6,AWD,HEV,3.3,90861
33,Ford,South Korea,Busan,Busan,183,172.8,Solid-State,198.9,733,298,CHAdeMO,5,RWD,BEV,2.8,111904
34,Hyundai,Canada,Ontario,Toronto,158,69.3,NiMH,143.8,419,82,Type 2,6,RWD,PHEV,2.2,179168
35,Lucid,Japan,Osaka,Osaka,298,33.3,NiMH,164.2,206,230,Tesla Supercharger,6,RWD,HEV,4.7,133993
36,BYD,India,Karnataka,Bangalore,244,34.9,Solid-State,190.2,614,134,Type 2,4,AWD,PHEV,3.8,156900
37,BYD,USA,NY,New York,154,177.4,Li-ion,134.5,588,217,CHAdeMO,6,RWD,PHEV,4.3,179041
38,BMW,Japan,Osaka,Osaka,240,33.3,NiMH,134.7,558,164,CCS,2,FWD,BEV,3.9,101266
39,BMW,China,Shanghai,Shanghai,264,191.1,Solid-State,193,577,135,CCS,4,RWD,BEV,4.8,145470
40,Tata,Japan,Osaka,Osaka,139,130.7,NiMH,151.9,508,111,CCS,5,AWD,BEV,3.5,114725
41,Volkswagen,USA,Seattle,Washington,147,103.7,Solid-State,187.2,670,128,Type 2,4,AWD,HEV,4.4,140539
42,BYD,South Korea,Busan,Busan,271,75.6,Li-ion,204.8,288,192,Type 2,4,RWD,HEV,3.1,73761
43,Hyundai,South Korea,Busan,Busan,244,66.1,Solid-State,160.6,482,334,CCS,7,FWD,HEV,3.2,142768
44,Volkswagen,India,Tamil Nadu,Chennai,234,164.8,Li-ion,156.5,614,174,Tesla Supercharger,7,RWD,HEV,3,167771
45,Nissan,Canada,British Columbia,Vancouver,299,107.1,Solid-State,152.6,323,148,Tesla Supercharger,2,AWD,BEV,2.6,133464
46,Lucid,UK,England,Birmingham,254,131.5,Li-ion,204.9,503,166,Tesla Supercharger,4,RWD,BEV,2.8,197702
47,Hyundai,USA,IL,Chicago,283,177.6,Solid-State,139.2,212,343,Tesla Supercharger,6,RWD,BEV,4.9,103092
48,BMW,South Korea,Seoul,Seoul,222,113.6,NiMH,186.7,254,127,CHAdeMO,7,RWD,BEV,3.7,124548
49,Lucid,Australia,Queensland,Brisbane,177,161.9,Solid-State,170.5,653,202,Type 2,5,AWD,HEV,4.9,83006
50,Ford,India,Maharashtra,Mumbai,289,43.8,Li-ion,145.6,276,130,CCS,6,RWD,PHEV,2.1,107762
51,Volkswagen,UK,England,Birmingham,138,146.9,Solid-State,200.9,402,267,CCS,7,FWD,BEV,2.2,91747
52,Lucid,UK,England,Birmingham,193,104.7,Solid-State,192,612,189,Type 2,6,FWD,PHEV,4.2,149129
53,BMW,UK,England,London,178,193.5,NiMH,182.8,221,187,CCS,4,RWD,PHEV,2.5,146720
54,Volkswagen,Japan,Kanagawa,Yokohama,143,109.9,Solid-State,160,307,132,Tesla Supercharger,6,AWD,HEV,4.8,176635
55,Volkswagen,Canada,Ontario,Toronto,142,83.5,Solid-State,140.4,613,313,CCS,7,RWD,BEV,3.6,151609
56,Volkswagen,South Korea,Incheon,Incheon,133,64.6,NiMH,141.8,494,274,Type 2,2,FWD,HEV,2.5,142199
57,BMW,USA,Seattle,Washington,177,198.7,Li-ion,171.5,320,128,Type 2,5,AWD,PHEV,4.9,101946
58,Hyundai,South Korea,Incheon,Incheon,218,62.4,NiMH,175.7,339,85,Tesla Supercharger,6,RWD,BEV,2.8,109132
59,Volkswagen,Australia,Queensland,Brisbane,158,105.9,Solid-State,161.1,765,328,Type 2,6,RWD,HEV,3.1,182199
60,Nissan,Japan,Tokyo,Tokyo,241,149.9,Solid-State,164.7,355,303,CCS,4,AWD,BEV,4.6,127711
61,Volkswagen,Germany,Hesse,Frankfurt,123,152.8,Solid-State,208.4,358,88,Type 2,5,RWD,HEV,2.2,113065
62,Nissan,Canada,British Columbia,Vancouver,280,152.2,Solid-State,208.5,236,85,CHAdeMO,5,FWD,BEV,4.3,162260
63,Hyundai,Germany,Bavaria,Munich,297,80.9,Li-ion,134.1,257,200,Tesla Supercharger,5,RWD,HEV,3.2,159364
64,Hyundai,China,Beijing,Beijing,140,133.6,Solid-State,185.8,446,304,CHAdeMO,4,RWD,PHEV,4,187821
65,Kia,South Korea,Busan,Busan,160,42.6,Solid-State,218.9,506,267,Tesla Supercharger,6,RWD,PHEV,2.3,119986
66,Lucid,Australia,Victoria,Melbourne,195,198.8,Solid-State,132,605,190,CCS,7,AWD,HEV,3.5,188509
67,Lucid,UK,England,London,210,67.2,Li-ion,185.9,340,99,CCS,5,RWD,PHEV,4.2,81813
68,BYD,UK,England,Manchester,164,64.1,NiMH,208.9,574,321,Tesla Supercharger,4,RWD,HEV,4.6,175412
69,BMW,Germany,Bavaria,Munich,156,158.2,Li-ion,207.4,606,335,Tesla Supercharger,2,RWD,HEV,2.4,118311
70,BYD,UK,England,Birmingham,283,189.8,Li-ion,190.7,682,62,Tesla Supercharger,7,FWD,HEV,2.9,123516
71,Tesla,Germany,Berlin,Berlin,129,81.7,Solid-State,140.5,440,325,CHAdeMO,6,RWD,PHEV,3.8,165236
72,BMW,China,Shanghai,Shanghai,245,134.7,Solid-State,132.9,579,161,Type 2,6,FWD,HEV,3.1,188187
73,BYD,France,Île-de-France,Paris,190,62.3,Li-ion,215.4,665,96,CHAdeMO,7,FWD,BEV,5,173150
74,BMW,Australia,New South Wales,Sydney,261,65.2,Li-ion,203.2,438,218,CHAdeMO,7,FWD,BEV,3.6,174662
75,Tesla,China,Beijing,Beijing,153,32.5,Li-ion,183,216,139,Tesla Supercharger,2,FWD,BEV,4.2,132422
76,Kia,South Korea,Busan,Busan,271,48.5,NiMH,149.9,244,316,Tesla Supercharger,6,AWD,PHEV,4.5,125872
77,Volkswagen,Germany,Bavaria,Munich,138,182.9,Solid-State,184.7,267,114,Tesla Supercharger,7,AWD,HEV,3,148301
78,Volkswagen,Canada,British Columbia,Vancouver,249,132.9,Li-ion,201.4,317,332,CHAdeMO,6,RWD,PHEV,4.5,122262
79,BMW,Japan,Kanagawa,Yokohama,200,102.5,NiMH,152.9,356,292,CCS,2,FWD,BEV,4.2,118843
80,Tesla,China,Guangdong,Shenzhen,270,192.6,NiMH,159.7,325,260,Tesla Supercharger,6,AWD,HEV,2.9,83579
81,Tata,Australia,Queensland,Brisbane,159,141.6,Li-ion,206.3,558,334,Tesla Supercharger,2,RWD,PHEV,4.5,197735
82,Kia,Australia,Queensland,Brisbane,126,133.5,NiMH,204.7,473,64,CHAdeMO,5,AWD,PHEV,2,184014
83,BYD,China,Guangdong,Shenzhen,137,54.1,NiMH,217.5,293,321,CHAdeMO,6,RWD,BEV,3.1,164581
84,Lucid,France,Provence-Alpes-Côte d'Azur,Marseille,141,180.2,Li-ion,144.2,250,91,Tesla Supercharger,6,AWD,HEV,3.3,105804
85,Nissan,India,Delhi,Delhi,230,48.9,NiMH,191.1,698,319,Tesla Supercharger,2,FWD,BEV,2,109507
86,Ford,India,Maharashtra,Mumbai,194,85.8,Li-ion,174.8,640,139,CHAdeMO,6,AWD,HEV,4.5,175670
87,BYD,France,Île-de-France,Paris,130,104.2,Solid-State,212.9,520,344,Type 2,7,RWD,BEV,3.2,196641
88,Lucid,France,Île-de-France,Paris,237,171.4,Solid-State,137.9,308,174,Type 2,7,RWD,PHEV,4.6,167754
89,Nissan,France,Île-de-France,Paris,163,43,NiMH,140.3,722,149,Tesla Supercharger,5,AWD,BEV,2.4,95856
90,Hyundai,China,Guangdong,Shenzhen,287,42.8,NiMH,174.5,777,346,Type 2,7,AWD,HEV,2.9,127640
91,Volkswagen,Germany,Bavaria,Munich,281,81.5,Solid-State,183.2,560,309,CCS,5,RWD,BEV,3.1,107627
92,BMW,Germany,Hesse,Frankfurt,277,131,Solid-State,171.6,767,71,Type 2,7,AWD,HEV,3.4,89773
93,BMW,USA,Seattle,Washington,207,197,Li-ion,175.4,376,70,CHAdeMO,6,RWD,HEV,2.5,118870
94,BYD,UK,England,Manchester,206,145.4,Li-ion,201,542,83,Tesla Supercharger,2,AWD,PHEV,4.2,156057
95,Nissan,Australia,New South Wales,Sydney,140,129.1,Li-ion,212.5,517,250,CHAdeMO,7,AWD,HEV,3.1,173764
96,Kia,France,Île-de-France,Paris,143,139.8,Solid-State,175.8,218,235,Tesla Supercharger,4,FWD,BEV,2.7,88030
97,Ford,China,Beijing,Beijing,145,116.3,NiMH,205.2,739,69,Tesla Supercharger,7,FWD,BEV,2.5,178966
98,Volkswagen,Australia,New South Wales,Sydney,131,99.8,NiMH,194.8,654,195,Type 2,4,AWD,PHEV,4.7,95430
99,Lucid,France,Provence-Alpes-Côte d'Azur,Marseille,232,108.5,Solid-State,200,714,320,Type 2,4,FWD,PHEV,2.2,132991
100,BMW,France,Provence-Alpes-Côte d'Azur,Marseille,252,174.7,Solid-State,137.5,364,189,Type 2,7,FWD,BEV,4.5,185950
101,BYD,France,Île-de-France,Paris,133,97.4,Solid-State,151.2,283,241,CHAdeMO,2,RWD,BEV,2.4,107601
102,Hyundai,South Korea,Incheon,Incheon,300,109.7,NiMH,130.5,281,59,Tesla Supercharger,4,FWD,HEV,3.3,171734
103,Ford,UK,England,London,151,38.1,Solid-State,187.5,668,82,CCS,6,AWD,HEV,3.5,101711
104,BYD,China,Shanghai,Shanghai,120,134.5,Li-ion,181.4,391,93,Tesla Supercharger,2,AWD,HEV,3.7,121177
105,BYD,South Korea,Seoul,Seoul,215,73.1,Li-ion,162.1,269,226,CHAdeMO,2,AWD,BEV,3.1,114374
106,Volkswagen,China,Guangdong,Shenzhen,298,111.4,Li-ion,203,264,284,CCS,5,FWD,BEV,2.9,110642
107,Kia,Canada,British Columbia,Vancouver,241,73.1,NiMH,147.2,565,74,Tesla Supercharger,5,FWD,PHEV,4.2,187261
108,Hyundai,Japan,Osaka,Osaka,247,147.7,Solid-State,213.2,731,186,CCS,6,FWD,BEV,3.6,112101
109,Nissan,Germany,Berlin,Berlin,289,80.3,Solid-State,184.2,636,135,Type 2,5,RWD,HEV,5,105986
110,BYD,USA,NY,New York,213,117.2,NiMH,191.1,231,123,Type 2,2,FWD,HEV,3.1,120181
111,Lucid,Australia,New South Wales,Sydney,159,145.4,Solid-State,163.5,278,343,CHAdeMO,7,RWD,HEV,2.8,195897
112,Hyundai,Germany,Berlin,Berlin,247,118,NiMH,140.6,466,278,CHAdeMO,7,RWD,BEV,2.4,79706
113,Volkswagen,South Korea,Seoul,Seoul,142,167.8,Solid-State,190.1,266,331,Tesla Supercharger,5,FWD,HEV,2.7,199123
114,Tata,India,Maharashtra,Mumbai,246,34.5,NiMH,181.5,678,332,CHAdeMO,7,FWD,PHEV,5,164223
115,BYD,South Korea,Incheon,Incheon,224,170,Li-ion,141.3,524,87,Type 2,6,AWD,BEV,4.6,172270
116,Lucid,Canada,Quebec,Montreal,166,160.5,Li-ion,168.9,256,113,CHAdeMO,5,FWD,HEV,2.7,194188
117,BMW,Canada,British Columbia,Vancouver,184,63.4,NiMH,154.7,510,323,CCS,7,AWD,HEV,2.5,156341
118,Lucid,Australia,Queensland,Brisbane,206,173.2,NiMH,133.7,229,91,CCS,7,RWD,PHEV,3.9,73969
119,Kia,South Korea,Incheon,Incheon,194,139.1,Solid-State,173.5,615,202,Type 2,2,AWD,PHEV,3.2,130875
120,Lucid,India,Karnataka,Bangalore,156,83.1,NiMH,158.7,553,254,CHAdeMO,5,AWD,PHEV,2.7,86059
121,Tata,UK,England,Manchester,156,46.5,Solid-State,215.1,628,177,CHAdeMO,5,AWD,BEV,3.5,137466
122,Ford,South Korea,Busan,Busan,247,33.9,Solid-State,175.5,446,160,Tesla Supercharger,2,FWD,HEV,4.6,155755
123,Kia,South Korea,Busan,Busan,122,174,Solid-State,142.1,470,237,Type 2,5,FWD,HEV,3.7,117516
124,BMW,Canada,British Columbia,Vancouver,218,115.7,NiMH,155.2,321,115,CCS,6,RWD,PHEV,4.3,96090
125,BYD,Australia,Queensland,Brisbane,248,36.8,Li-ion,142.3,541,292,Type 2,4,AWD,PHEV,4.8,111750
126,Lucid,China,Shanghai,Shanghai,196,130.9,NiMH,204.5,745,300,Tesla Supercharger,6,FWD,HEV,2.3,124596
127,Tesla,Australia,Victoria,Melbourne,272,110.7,NiMH,200.5,792,345,CHAdeMO,2,AWD,HEV,3.9,151230
128,Tata,Japan,Tokyo,Tokyo,128,127.3,NiMH,139.9,219,275,Tesla Supercharger,6,FWD,PHEV,3.5,150147
129,Tesla,South Korea,Incheon,Incheon,300,53.5,Li-ion,180.5,689,319,Type 2,5,FWD,PHEV,3.6,158587
130,Volkswagen,UK,England,Birmingham,169,192.7,Solid-State,180.2,430,202,Tesla Supercharger,4,AWD,PHEV,3,192381
131,BMW,UK,England,Manchester,266,145,Solid-State,210.6,604,226,CHAdeMO,5,FWD,PHEV,4.8,155979
132,Volkswagen,UK,England,Birmingham,174,64.4,NiMH,154.4,775,189,CHAdeMO,2,AWD,BEV,2.2,188644
133,Tata,Canada,Ontario,Toronto,133,47,Solid-State,194.6,302,120,CCS,7,FWD,PHEV,4,169078
134,Ford,UK,England,Manchester,285,40.1,Li-ion,188.7,437,323,CCS,4,RWD,PHEV,4.4,94420
135,Tesla,UK,England,London,196,126.6,Li-ion,213.6,543,195,Type 2,7,AWD,HEV,3.4,95272
136,Hyundai,Germany,Bavaria,Munich,237,140.2,NiMH,146.8,545,201,CHAdeMO,4,AWD,HEV,3,122538
137,Hyundai,Germany,Berlin,Berlin,242,85,Li-ion,130.6,592,170,Type 2,5,RWD,HEV,3.7,104282
138,Tata,France,Provence-Alpes-Côte d'Azur,Marseille,135,143.5,Solid-State,157.6,615,307,Tesla Supercharger,2,AWD,HEV,2.7,195483
139,Hyundai,China,Shanghai,Shanghai,236,157.1,NiMH,163.6,762,291,CHAdeMO,4,AWD,HEV,3.3,162244
140,Lucid,France,Île-de-France,Paris,148,40.5,NiMH,211.3,407,343,CHAdeMO,4,RWD,BEV,4,163967
141,BMW,Australia,Victoria,Melbourne,250,105.7,Li-ion,170.8,725,262,Type 2,7,FWD,HEV,4.4,164801
142,Ford,USA,Seattle,Washington,120,156.8,NiMH,136.6,633,226,CCS,7,FWD,BEV,2.9,93590
143,BYD,China,Guangdong,Shenzhen,215,198.8,Solid-State,170.4,586,242,CCS,7,FWD,BEV,5,121518
144,Tata,Canada,Ontario,Toronto,120,158.6,Solid-State,171.7,757,267,Type 2,4,FWD,BEV,2.8,192868
145,BYD,Germany,Berlin,Berlin,277,160.2,Li-ion,151.7,268,101,CCS,6,AWD,HEV,2.1,127535
146,Tesla,India,Maharashtra,Mumbai,155,115.7,Solid-State,151.1,789,213,Tesla Supercharger,4,RWD,BEV,3.2,106064
147,BYD,USA,CA,Los Angeles,262,114.3,Solid-State,214.7,590,318,Tesla Supercharger,6,RWD,PHEV,2.6,140507
148,Tata,South Korea,Seoul,Seoul,196,175.8,Li-ion,202.5,259,337,Type 2,6,AWD,PHEV,2.7,96651
149,BMW,France,Provence-Alpes-Côte d'Azur,Marseille,235,174,Li-ion,178.2,395,76,Tesla Supercharger,6,AWD,BEV,4.6,94662
150,Kia,Australia,Queensland,Brisbane,175,111.5,Solid-State,157.3,215,158,CHAdeMO,2,AWD,HEV,3.8,96805
151,Kia,Japan,Tokyo,Tokyo,202,161.8,Solid-State,172,567,207,Tesla Supercharger,5,AWD,BEV,4.4,164688
152,Tata,South Korea,Busan,Busan,214,83.2,Li-ion,180.6,426,124,CCS,5,AWD,HEV,3.3,89976
153,Tata,India,Karnataka,Bangalore,217,126.9,Li-ion,174.9,545,181,Type 2,6,RWD,BEV,2.4,141636
154,Kia,South Korea,Seoul,Seoul,284,192.7,NiMH,133,276,74,CCS,6,FWD,HEV,2.5,98668
155,Nissan,Canada,British Columbia,Vancouver,135,135,NiMH,214.1,694,299,CCS,2,AWD,BEV,2.1,164659
156,Ford,UK,England,Birmingham,124,115.4,NiMH,190.7,383,104,CCS,7,FWD,HEV,3.6,176851
157,BYD,France,Auvergne-Rhône-Alpes,Lyon,140,93.4,Solid-State,171.3,449,165,Tesla Supercharger,2,AWD,PHEV,3.1,142443
158,Tesla,South Korea,Seoul,Seoul,299,59.1,Solid-State,206.1,539,339,CCS,7,FWD,HEV,4.7,132324
159,BMW,UK,England,London,295,187.3,NiMH,180.7,233,141,Tesla Supercharger,2,FWD,HEV,4.5,191749
160,Hyundai,Germany,Bavaria,Munich,264,70.9,Solid-State,190.9,753,219,Type 2,4,AWD,HEV,4.9,77038
161,Tata,Germany,Bavaria,Munich,139,87.9,NiMH,215.9,606,217,CCS,5,RWD,PHEV,3.7,119207
162,Lucid,Japan,Tokyo,Tokyo,289,94.6,NiMH,156.6,452,87,CCS,5,FWD,HEV,3.2,117277
163,Tesla,Germany,Berlin,Berlin,198,105.6,Solid-State,139.2,289,145,Type 2,6,AWD,PHEV,2.3,81746
164,BMW,France,Provence-Alpes-Côte d'Azur,Marseille,272,131.7,Solid-State,207.7,212,199,Type 2,6,FWD,HEV,3.6,159825
165,Hyundai,Japan,Tokyo,Tokyo,188,81.2,Solid-State,143.1,371,272,Tesla Supercharger,6,RWD,PHEV,2.8,102321
166,Lucid,South Korea,Incheon,Incheon,170,107.8,Li-ion,157.4,605,220,Type 2,5,RWD,HEV,4.9,87842
167,Lucid,UK,England,Manchester,297,64.1,Solid-State,146,607,213,Tesla Supercharger,6,AWD,PHEV,2.8,173005
168,BMW,Japan,Osaka,Osaka,264,64,NiMH,146.2,763,63,Type 2,4,RWD,PHEV,4,88242
169,Ford,UK,England,London,288,56.2,Solid-State,201,275,279,Type 2,7,RWD,HEV,3.3,74818
170,Kia,France,Provence-Alpes-Côte d'Azur,Marseille,272,138.5,Li-ion,139.8,454,231,CHAdeMO,7,FWD,PHEV,4.9,126420
171,BMW,Germany,Berlin,Berlin,186,67.7,NiMH,176.7,794,344,CHAdeMO,6,RWD,HEV,3.8,135597
172,Tesla,China,Shanghai,Shanghai,243,47.8,Solid-State,212.8,287,109,CHAdeMO,5,RWD,BEV,3.6,115652
173,Volkswagen,South Korea,Seoul,Seoul,298,106.9,Li-ion,157,317,61,Tesla Supercharger,2,AWD,HEV,2.5,90989
174,BYD,France,Provence-Alpes-Côte d'Azur,Marseille,238,69.4,Solid-State,186.7,390,271,Type 2,2,AWD,PHEV,3.8,120965
175,Tata,USA,CA,Los Angeles,191,157.9,Li-ion,182,749,145,Tesla Supercharger,5,FWD,PHEV,4,134157
176,Nissan,Canada,Quebec,Montreal,272,96.1,Solid-State,182.8,556,230,Type 2,7,FWD,HEV,2.3,87556
177,Tata,France,Île-de-France,Paris,198,49.9,Solid-State,192.4,723,248,Type 2,7,FWD,PHEV,2.6,153296
178,Hyundai,Canada,Quebec,Montreal,262,58.4,Solid-State,142.6,522,280,CCS,5,FWD,BEV,4.4,196331
179,Volkswagen,Canada,Quebec,Montreal,224,146.4,Solid-State,193.9,654,300,CHAdeMO,2,AWD,PHEV,2.1,99470
180,Hyundai,Canada,British Columbia,Vancouver,237,126.2,Solid-State,179.5,315,343,CCS,5,AWD,BEV,4.3,127850
181,BYD,Canada,Ontario,Toronto,146,155.1,NiMH,197.6,504,66,Type 2,5,RWD,BEV,4.3,101056
182,Lucid,India,Karnataka,Bangalore,281,102.8,NiMH,142.5,411,155,CCS,7,RWD,HEV,3.6,112421
183,Lucid,UK,England,Manchester,188,191.9,NiMH,218.7,297,119,Type 2,2,RWD,BEV,2.4,112217
184,Volkswagen,India,Tamil Nadu,Chennai,156,128.2,Solid-State,186.5,584,281,CCS,2,RWD,HEV,4.8,118374
185,Nissan,South Korea,Busan,Busan,268,30.4,NiMH,138.4,669,233,CCS,7,RWD,BEV,3.5,112318
186,Kia,UK,England,Manchester,267,52.2,Solid-State,200.9,249,73,CCS,6,FWD,PHEV,3.4,195571
187,Hyundai,Japan,Tokyo,Tokyo,286,81.3,Solid-State,138.4,569,178,CCS,5,AWD,PHEV,3.9,165156
188,BMW,India,Tamil Nadu,Chennai,300,46.2,Li-ion,172.9,335,165,Type 2,2,FWD,PHEV,4.1,132613
189,BYD,Germany,Berlin,Berlin,142,154.2,Li-ion,139.3,576,203,CHAdeMO,6,FWD,HEV,3.7,149995
190,Nissan,China,Shanghai,Shanghai,174,136.8,Li-ion,212.8,653,161,CCS,2,FWD,HEV,3.2,196254
191,Hyundai,Japan,Osaka,Osaka,183,77.1,Li-ion,152.3,491,63,Tesla Supercharger,4,AWD,BEV,4.2,108737
192,Volkswagen,USA,CA,Los Angeles,218,49.2,Solid-State,187.4,272,320,CCS,5,RWD,HEV,3.3,141612
193,BMW,China,Shanghai,Shanghai,124,129.9,Li-ion,153.6,240,80,Type 2,7,RWD,PHEV,4.1,80803
194,Lucid,Canada,Quebec,Montreal,159,77.2,Solid-State,137.1,408,129,Tesla Supercharger,6,AWD,HEV,3.3,194967
195,Tata,India,Delhi,Delhi,142,187.2,Li-ion,170.8,256,208,CHAdeMO,2,FWD,BEV,3.5,115443
196,Ford,Canada,Quebec,Montreal,162,93.2,NiMH,200.3,475,110,CCS,5,RWD,BEV,2.8,197801
197,BMW,Australia,Queensland,Brisbane,247,107.4,Solid-State,135,780,135,Tesla Supercharger,4,RWD,HEV,4.2,99937
198,Tesla,Canada,Ontario,Toronto,123,71.6,Solid-State,162.8,353,141,CCS,7,AWD,PHEV,2.7,190042
199,BMW,France,Auvergne-Rhône-Alpes,Lyon,266,93.4,NiMH,190.6,253,141,CHAdeMO,7,FWD,PHEV,4.6,171387
200,BMW,UK,England,Manchester,261,107.6,Solid-State,148.1,777,205,CHAdeMO,6,RWD,BEV,4.2,141638
201,Tesla,India,Maharashtra,Mumbai,224,34.1,NiMH,161.2,209,221,CCS,6,AWD,BEV,3.6,101217
202,Tesla,Japan,Osaka,Osaka,156,151,Li-ion,134,437,316,Type 2,5,RWD,BEV,3.5,153521
203,Lucid,Japan,Tokyo,Tokyo,265,40.6,NiMH,216.8,442,199,Tesla Supercharger,5,RWD,PHEV,2.8,79789
204,Lucid,India,Maharashtra,Mumbai,147,56.4,Li-ion,170.5,521,258,CCS,7,RWD,PHEV,3.4,181736
205,Hyundai,Germany,Berlin,Berlin,295,81.7,NiMH,192.7,241,160,Tesla Supercharger,4,FWD,PHEV,3.5,158759
206,Hyundai,UK,England,Manchester,127,191.9,Solid-State,180,763,177,CCS,6,FWD,BEV,2.2,172361
207,Tata,India,Maharashtra,Mumbai,222,93.3,NiMH,214.4,286,348,Tesla Supercharger,2,FWD,HEV,3.3,86880
208,BMW,Germany,Bavaria,Munich,130,190.2,Li-ion,145.1,787,271,Type 2,6,FWD,BEV,3.1,189053
209,Ford,China,Shanghai,Shanghai,234,180.2,Li-ion,185.3,451,201,Type 2,6,AWD,BEV,2.8,87987
210,Kia,Japan,Tokyo,Tokyo,183,137.2,NiMH,201.5,591,233,Type 2,7,RWD,HEV,3,105446
211,Nissan,China,Beijing,Beijing,272,67.2,Solid-State,135.3,683,321,Tesla Supercharger,7,FWD,BEV,4,104934
212,Tesla,Canada,Quebec,Montreal,176,127.9,Solid-State,161.9,377,140,CHAdeMO,7,RWD,BEV,4.1,116095
213,Hyundai,Australia,Queensland,Brisbane,264,191.2,Solid-State,178.8,379,301,CCS,2,FWD,BEV,2.1,132650
214,Lucid,USA,IL,Chicago,171,167.1,Solid-State,194.5,531,80,CCS,4,AWD,HEV,4.6,195902
215,BYD,Germany,Bavaria,Munich,270,47.2,Solid-State,159,361,273,Type 2,5,FWD,PHEV,2.7,147194
